model,table,line,columns,keys,relationships,indexes,constraints
BusinessBrainRecommendation,business_brain_recommendations,709,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | product_id: Column(Integer, ForeignKey('products.id', ondelete='CASCADE'), nullable=True, index=True) | fingerprint: Column(String, nullable=False) | kind: Column(String, nullable=False, index=True) | priority: Column(String, nullable=False, default='important') | title: Column(String, nullable=False) | summary: Column(Text, nullable=False) | evidence_json: Column(Text, nullable=False, default='{}') | status: Column(String, nullable=False, default='new', index=True) | opened_at: Column(SQLDateTime, nullable=True) | acted_at: Column(SQLDateTime, nullable=True) | dismissed_at: Column(SQLDateTime, nullable=True) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | updated_at: Column(SQLDateTime, default=datetime.utcnow, onupdate=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | product_id: Column(Integer, ForeignKey('products.id', ondelete='CASCADE'), nullable=True, index=True)",none declared,"id, business_id, product_id, kind, status",none declared in ORM
BusinessBrainMemory,business_brain_memories,728,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | product_id: Column(Integer, ForeignKey('products.id', ondelete='CASCADE'), nullable=True, index=True) | fingerprint: Column(String, nullable=False) | statement: Column(Text, nullable=False) | evidence_json: Column(Text, nullable=False, default='{}') | confidence: Column(Float, nullable=False) | last_observed_at: Column(SQLDateTime, nullable=False) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | updated_at: Column(SQLDateTime, default=datetime.utcnow, onupdate=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | product_id: Column(Integer, ForeignKey('products.id', ondelete='CASCADE'), nullable=True, index=True)",none declared,"id, business_id, product_id",none declared in ORM
BusinessBrainSeasonalPattern,business_brain_seasonal_patterns,747,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | product_id: Column(Integer, ForeignKey('products.id', ondelete='CASCADE'), nullable=False, index=True) | week_of_year: Column(Integer, nullable=False) | cycles_observed: Column(Integer, nullable=False) | avg_units_in_week: Column(Float, nullable=False) | baseline_avg_units: Column(Float, nullable=False) | lift_ratio: Column(Float, nullable=False) | consistency: Column(Float, nullable=False) | confidence: Column(Float, nullable=False) | last_computed_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | product_id: Column(Integer, ForeignKey('products.id', ondelete='CASCADE'), nullable=False, index=True)",none declared,"id, business_id, product_id",none declared in ORM
BusinessBrainRelationship,business_brain_relationships,767,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | product_a_id: Column(Integer, ForeignKey('products.id', ondelete='CASCADE'), nullable=False, index=True) | product_b_id: Column(Integer, ForeignKey('products.id', ondelete='CASCADE'), nullable=False, index=True) | overlapping_weeks: Column(Integer, nullable=False) | correlation: Column(Float, nullable=False) | confidence: Column(Float, nullable=False) | last_computed_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | product_a_id: Column(Integer, ForeignKey('products.id', ondelete='CASCADE'), nullable=False, index=True) | product_b_id: Column(Integer, ForeignKey('products.id', ondelete='CASCADE'), nullable=False, index=True)",none declared,"id, business_id, product_a_id, product_b_id",none declared in ORM
GeneralCatalog,general_catalog,779,"id: Column(Integer, primary_key=True, index=True) | barcode: Column(String, unique=True, nullable=True, index=True) | catalog_key: Column(String, unique=True, index=True, nullable=False, default='legacy') | product_name: Column(String, nullable=False) | category: Column(String, nullable=False, default='General') | brand: Column(String, nullable=True) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | updated_at: Column(SQLDateTime, default=datetime.utcnow, onupdate=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True)",none declared,"id, barcode, catalog_key","UNIQUE(barcode), UNIQUE(catalog_key)"
StoredUpload,stored_uploads,790,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | uploaded_by_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True, index=True) | kind: Column(String, nullable=False, index=True) | original_name: Column(String, nullable=False) | storage_key: Column(String, unique=True, nullable=False, index=True) | content_type: Column(String, nullable=False) | size_bytes: Column(Integer, nullable=False) | content_hash: Column(String, nullable=False, index=True) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | uploaded_by_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True, index=True)",none declared,"id, business_id, uploaded_by_id, kind, storage_key, content_hash",UNIQUE(storage_key)
AIUsageLedger,ai_usage_ledger,808,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | user_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True, index=True) | operation_type: Column(String, nullable=False, index=True) | credits_consumed: Column(Integer, nullable=False, default=0) | billing_period: Column(String, nullable=False, index=True) | provider: Column(String, nullable=True) | model: Column(String, nullable=True) | success: Column(Boolean, nullable=False, default=False) | input_tokens: Column(Integer, nullable=True) | output_tokens: Column(Integer, nullable=True) | estimated_provider_cost: Column(Float, nullable=True) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | user_id: Column(Integer, ForeignKey('users.id', ondelete='SET NULL'), nullable=True, index=True)",none declared,"id, business_id, user_id, operation_type, billing_period",none declared in ORM
BusinessSubscription,business_subscriptions,825,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, unique=True, index=True) | plan: Column(String, nullable=False) | billing_interval: Column(String, nullable=False) | status: Column(String, nullable=False, default='trialing', index=True) | trial_start_at: Column(SQLDateTime, nullable=True) | trial_end_at: Column(SQLDateTime, nullable=True) | paid_at: Column(SQLDateTime, nullable=True) | current_period_start: Column(SQLDateTime, nullable=True) | current_period_end: Column(SQLDateTime, nullable=True) | next_billing_at: Column(SQLDateTime, nullable=True) | paystack_customer_code: Column(String, nullable=True) | paystack_subscription_code: Column(String, nullable=True) | paystack_plan_code: Column(String, nullable=True) | latest_transaction_reference: Column(String, nullable=True) | payment_status: Column(String, nullable=True) | cancelled_at: Column(SQLDateTime, nullable=True) | card_verified: Column(Boolean, nullable=False, default=False) | paystack_authorization_code: Column(String, nullable=True) | card_last4: Column(String, nullable=True) | card_type: Column(String, nullable=True) | card_exp_month: Column(String, nullable=True) | card_exp_year: Column(String, nullable=True) | trial_consent_at: Column(SQLDateTime, nullable=True) | grace_period_ends_at: Column(SQLDateTime, nullable=True) | cancel_at_period_end: Column(Boolean, nullable=False, default=False) | pending_downgrade_plan: Column(String, nullable=True) | pending_downgrade_billing_interval: Column(String, nullable=True) | pending_downgrade_effective_at: Column(SQLDateTime, nullable=True) | pending_downgrade_requested_at: Column(SQLDateTime, nullable=True) | pending_downgrade_requested_by_user_id: Column(Integer, nullable=True) | pending_downgrade_paystack_subscription_code: Column(String, nullable=True) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False) | updated_at: Column(SQLDateTime, default=datetime.utcnow, onupdate=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, unique=True, index=True)",none declared,"id, business_id, status",UNIQUE(business_id)
PaymentRecord,payment_records,866,"id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | subscription_id: Column(Integer, ForeignKey('business_subscriptions.id', ondelete='SET NULL'), nullable=True, index=True) | plan: Column(String, nullable=False) | billing_interval: Column(String, nullable=False) | amount_kobo: Column(Integer, nullable=False) | currency: Column(String, nullable=False, default='NGN') | paystack_reference: Column(String, nullable=False, unique=True, index=True) | status: Column(String, nullable=False, default='initialized', index=True) | transaction_metadata: Column(Text, nullable=True) | purpose: Column(String, nullable=False, default='subscription') | refunded_at: Column(SQLDateTime, nullable=True) | paid_at: Column(SQLDateTime, nullable=True) | created_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True) | business_id: Column(Integer, ForeignKey('business_profile.id', ondelete='CASCADE'), nullable=False, index=True) | subscription_id: Column(Integer, ForeignKey('business_subscriptions.id', ondelete='SET NULL'), nullable=True, index=True)",none declared,"id, business_id, subscription_id, paystack_reference, status",UNIQUE(paystack_reference)
PaystackWebhookEvent,paystack_webhook_events,883,"id: Column(Integer, primary_key=True, index=True) | event_key: Column(String, nullable=False, unique=True, index=True) | event_type: Column(String, nullable=False) | received_at: Column(SQLDateTime, default=datetime.utcnow, nullable=False)","id: Column(Integer, primary_key=True, index=True)",none declared,"id, event_key",UNIQUE(event_key)
