method,path,line,function,auth,roles,request_model,response_shape,db_tables_touched_static,external_integration,frontend_callers,coverage_status
GET,/audit-logs/export,3872,export_audit_logs_csv,AUTHENTICATED,"admin,manager",q:Optional[str]; actor_username:Optional[str]; action:Optional[str]; date_from:Optional[str]; date_to:Optional[str],dynamic JSON/HTML/FileResponse,users,none detected in handler,none statically matched,NOT TESTED
GET,/audit-logs/export/xlsx,3889,export_audit_logs_xlsx,AUTHENTICATED,"admin,manager",q:Optional[str]; actor_username:Optional[str]; action:Optional[str]; date_from:Optional[str]; date_to:Optional[str],dynamic JSON/HTML/FileResponse,users,none detected in handler,none statically matched,NOT TESTED
DELETE,/auth/account,3406,delete_own_account,AUTHENTICATED,admin,query/path params or none,dynamic JSON/HTML/FileResponse,users,none detected in handler,none statically matched,NOT TESTED
POST,/auth/admin-login,3214,admin_login,PUBLIC,none,data:AdminLoginRequest,dynamic JSON/HTML/FileResponse,business_profile,none detected in handler,none statically matched,PARTIALLY TESTED
POST,/auth/change-password,3389,change_password,PUBLIC,none,data:PasswordChangeRequest,dynamic JSON/HTML/FileResponse,users,none detected in handler,index.html:20437 (handleMandatoryPasswordChange),NOT TESTED
POST,/auth/clear-client-session,3644,clear_client_session,PUBLIC,none,query/path params or none,dynamic JSON/HTML/FileResponse,none detected in handler,none detected in handler,index.html:19701 (confirmFullAppReset),NOT TESTED
POST,/auth/employee-login,3223,employee_login,PUBLIC,none,data:EmployeeLoginRequest,dynamic JSON/HTML/FileResponse,business_profile,none detected in handler,none statically matched,PARTIALLY TESTED
POST,/auth/forgot-password,3473,forgot_password,PUBLIC,none,payload:ForgotPasswordRequest,dynamic JSON/HTML/FileResponse,"password_recoveries, users",none detected in handler,index.html:18633 (handleForgotPassword); index.html:18658 (resendForgotPasswordCode),NOT TESTED
POST,/auth/logout,3250,auth_logout,PUBLIC,none,token:str; refresh_token:Optional[str],dynamic JSON/HTML/FileResponse,"presence_sessions, refresh_sessions, session_revocations, users",none detected in handler,index.html:19613 (handleSignOut),PARTIALLY TESTED
GET,/auth/me,3245,auth_me,PUBLIC,none,query/path params or none,dynamic JSON/HTML/FileResponse,"business_profile, users",none detected in handler,index.html:24298 (validateAuthenticationSession),PARTIALLY TESTED
POST,/auth/refresh,3276,auth_refresh,PUBLIC,none,refresh_token:Optional[str],dynamic JSON/HTML/FileResponse,"refresh_sessions, users",none detected in handler,index.html:24117 (refreshAccessToken),PARTIALLY TESTED
POST,/auth/register-business,3016,register_business,PUBLIC,none,data:RegisterBusinessRequest,dynamic JSON/HTML/FileResponse,"business_profile, business_subscriptions, onboarding_authorizations, users, warehouses",Paystack,index.html:20116 (handleRegisterBusinessSubmit),PARTIALLY TESTED
POST,/auth/reset-password,3541,reset_password,PUBLIC,none,payload:PasswordResetRequest,dynamic JSON/HTML/FileResponse,"password_recoveries, users",none detected in handler,index.html:18680 (handlePasswordRecoveryReset),NOT TESTED
POST,/auth/verify-business,3152,verify_business,PUBLIC,none,data:BusinessVerifyRequest,dynamic JSON/HTML/FileResponse,none detected in handler,none detected in handler,index.html:20204 (verifyBusinessCodeServerSide),NOT TESTED
GET,/business-brain,4996,business_brain,PUBLIC,none,query/path params or none,dynamic JSON/HTML/FileResponse,"business_brain_memories, business_brain_predictions, business_brain_recommendations, business_profile, products, users",none detected in handler,index.html:24762 (fetchBusinessBrain),NOT TESTED
POST,/business-brain/recommendations/{recommendation_id}/action,5032,action_business_brain_recommendation,PUBLIC,none,recommendation_id:int; payload:BusinessBrainRecommendationAction,dynamic JSON/HTML/FileResponse,"business_brain_recommendations, users",none detected in handler,index.html:24926 (updateBusinessBrainRecommendation),NOT TESTED
GET,/business-days/reopen-requests,5819,list_business_day_reopen_requests,AUTHENTICATED,"admin,manager",query/path params or none,dynamic JSON/HTML/FileResponse,"business_day_reopen_requests, users",none detected in handler,index.html:23093 (fetchPendingReopenRequests),PARTIALLY TESTED
GET,/business-days/reopen-requests/history,5837,list_business_day_reopen_request_history,AUTHENTICATED,admin,limit:int,dynamic JSON/HTML/FileResponse,"business_day_reopen_requests, users",none detected in handler,none statically matched,PARTIALLY TESTED
POST,/business-days/reopen-requests/{request_id}/{resolution},5849,resolve_business_day_reopen_request,AUTHENTICATED,admin,request_id:int; resolution:str; data:BusinessDayReopenResolution,dynamic JSON/HTML/FileResponse,"business_day_reopen_requests, business_days, users",none detected in handler,index.html:23106 (resolveBusinessDayReopenRequestFromPanel),NOT TESTED
POST,/business-days/{business_day_id}/close,5756,close_business_day_by_id,AUTHENTICATED,"admin,manager,staff",business_day_id:int,dynamic JSON/HTML/FileResponse,"business_days, users",none detected in handler,index.html:23073 (closeHistoricalBusinessDay),NOT TESTED
POST,/business-days/{business_day_id}/direct-reopen,5900,direct_reopen_business_day,AUTHENTICATED,admin,business_day_id:int; data:BusinessDayReopenRequestCreate,dynamic JSON/HTML/FileResponse,"business_days, users",none detected in handler,index.html:23055 (directReopenBusinessDay),NOT TESTED
POST,/business-days/{business_day_id}/reopen-request,5796,request_business_day_reopen,AUTHENTICATED,manager,business_day_id:int; data:BusinessDayReopenRequestCreate,dynamic JSON/HTML/FileResponse,"business_day_reopen_requests, business_days, users",filesystem,index.html:23039 (requestBusinessDayReopen),NOT TESTED
GET,/business-days/{business_day_id}/timeline,5773,business_day_timeline,AUTHENTICATED,staff,business_day_id:int,dynamic JSON/HTML/FileResponse,"audit_logs, business_days, users",none detected in handler,index.html:23132 (loadBusinessDayActivity); index.html:23447 (toggleSalesHistoryDayTimeline),NOT TESTED
DELETE,/business-profile/,3606,delete_business_profile,AUTHENTICATED,admin,query/path params or none,dynamic JSON/HTML/FileResponse,"account_action_requests, alert_reads, alerts, audit_logs, business_days, business_profile, password_recoveries, presence_sessions, price_history, price_monitor_sources, product_deletion_requests, products, purchase_orders, refresh_sessions, sales, session_revocations, stored_uploads, suppliers, users, warehouse_stocks, warehouses",filesystem,index.html:19733 (confirmDeleteBusinessProfile); index.html:20542 (openSettingsModal); index.html:22040 (saveCompanySettings),NOT TESTED
GET,/business-profile/,3575,get_business_profile,PUBLIC,none,query/path params or none,BusinessProfileSchema,"business_profile, users",none detected in handler,index.html:19733 (confirmDeleteBusinessProfile); index.html:20542 (openSettingsModal); index.html:22040 (saveCompanySettings),NOT TESTED
POST,/business-profile/,3581,update_business_profile,AUTHENTICATED,admin,profile_data:BusinessProfileSchema,BusinessProfileSchema,"business_profile, users",none detected in handler,index.html:19733 (confirmDeleteBusinessProfile); index.html:20542 (openSettingsModal); index.html:22040 (saveCompanySettings),NOT TESTED
GET,/expenses/,5145,list_expenses,AUTHENTICATED,"admin,manager,staff",category:Optional[str]; payment_source:Optional[str]; user_id:Optional[int]; search:Optional[str]; date_from:Optional[str]; date_to:Optional[str]; limit:int; offset:int,dynamic JSON/HTML/FileResponse,"business_profile, expenses, users",none detected in handler,index.html:23721 (handleRecordExpense); index.html:23959 (loadExpenseHistory),PARTIALLY TESTED
POST,/expenses/,5061,create_expense,AUTHENTICATED,"admin,manager,staff",data:ExpenseCreate,dynamic JSON/HTML/FileResponse,"expenses, users",none detected in handler,index.html:23721 (handleRecordExpense); index.html:23959 (loadExpenseHistory),PARTIALLY TESTED
GET,/expenses/categories,5057,list_expense_categories,AUTHENTICATED,any authenticated,query/path params or none,dynamic JSON/HTML/FileResponse,users,none detected in handler,index.html:23663 (ensureExpenseCategoriesLoaded),PARTIALLY TESTED
GET,/expenses/export,5192,export_expenses_csv,AUTHENTICATED,"admin,manager,staff",category:Optional[str]; payment_source:Optional[str]; user_id:Optional[int]; search:Optional[str]; date_from:Optional[str]; date_to:Optional[str],dynamic JSON/HTML/FileResponse,"business_profile, expenses, users",none detected in handler,none statically matched,NOT TESTED
GET,/expenses/export/xlsx,5211,export_expenses_xlsx,AUTHENTICATED,"admin,manager,staff",category:Optional[str]; payment_source:Optional[str]; user_id:Optional[int]; search:Optional[str]; date_from:Optional[str]; date_to:Optional[str],dynamic JSON/HTML/FileResponse,"business_profile, expenses, users",none detected in handler,none statically matched,NOT TESTED
GET,/expenses/{expense_id}/adjustments,5995,list_expense_adjustments,AUTHENTICATED,staff,expense_id:int,dynamic JSON/HTML/FileResponse,"expense_adjustments, expenses, users",none detected in handler,none statically matched,PARTIALLY TESTED
POST,/expenses/{expense_id}/adjustments,5970,create_expense_adjustment,AUTHENTICATED,admin,expense_id:int; data:RecordAdjustmentRequest,dynamic JSON/HTML/FileResponse,"business_days, expense_adjustments, expenses, users",none detected in handler,none statically matched,PARTIALLY TESTED
POST,/export/xlsx,5249,export_generic_xlsx,AUTHENTICATED,any authenticated,payload:XlsxExportRequest,dynamic JSON/HTML/FileResponse,users,none detected in handler,index.html:19006 (runExcelExport),NOT TESTED
GET,/financial-summary,5509,financial_summary,AUTHENTICATED,staff,period:str; custom_start:Optional[str]; custom_end:Optional[str],dynamic JSON/HTML/FileResponse,"business_profile, expenses, users",none detected in handler,index.html:23333 (loadSalesHistoryPeriodTotal); index.html:23781 (loadExpenseHistoryFinancialTotal); index.html:24521 (loadProfitDashboardCards); index.html:24644 (loadProfitData); index.html:24657 (loadProfitData),NOT TESTED
GET,/financial-summary/breakdown,5521,financial_summary_breakdown,AUTHENTICATED,staff,period:str; custom_start:Optional[str]; custom_end:Optional[str],dynamic JSON/HTML/FileResponse,"business_profile, expenses, products, sales, users",none detected in handler,index.html:24645 (loadProfitData),NOT TESTED
GET,/general-catalog,6167,search_general_catalog,AUTHENTICATED,any authenticated,barcode:Optional[str]; limit:int; offset:int,dynamic JSON/HTML/FileResponse,"general_catalog, users",none detected in handler,none statically matched,NOT TESTED
GET,/health,7399,health,PUBLIC,none,query/path params or none,dynamic JSON/HTML/FileResponse,none detected in handler,none detected in handler,index.html:2839 (isBackendReachable),PARTIALLY TESTED
POST,/onboarding/payment/confirm,6537,onboarding_payment_confirm,PUBLIC,none,data:OnboardingPaymentConfirmRequest,dynamic JSON/HTML/FileResponse,onboarding_authorizations,Paystack,index.html:21102 (handlePaystackReturn),NOT TESTED
POST,/onboarding/payment/init,6489,onboarding_payment_init,PUBLIC,none,data:OnboardingPaymentInitRequest,dynamic JSON/HTML/FileResponse,onboarding_authorizations,Paystack,index.html:20051 (startOnboardingPaymentVerification),NOT TESTED
GET,/plans,1209,list_public_plans,PUBLIC,none,query/path params or none,dynamic JSON/HTML/FileResponse,none detected in handler,none detected in handler,index.html:19916 (loadPublicPlanCatalog),TESTED
POST,/presence/heartbeat,6012,presence_heartbeat,AUTHENTICATED,any authenticated,payload:PresenceHeartbeatRequest,dynamic JSON/HTML/FileResponse,"presence_sessions, users",none detected in handler,index.html:19586 (startPresenceHeartbeat),NOT TESTED
POST,/presence/logout,6019,presence_logout,AUTHENTICATED,any authenticated,payload:PresenceHeartbeatRequest,dynamic JSON/HTML/FileResponse,"presence_sessions, users",none detected in handler,index.html:19578 (endPresenceSession),NOT TESTED
GET,/presence/team,6027,team_presence,AUTHENTICATED,"admin,manager,staff",query/path params or none,dynamic JSON/HTML/FileResponse,"presence_sessions, users",none detected in handler,index.html:23523 (loadTeamPresence),NOT TESTED
GET,/price-monitor,6082,price_monitor,AUTHENTICATED,any authenticated,query/path params or none,dynamic JSON/HTML/FileResponse,"price_history, price_monitor_sources, products, suppliers, users",none detected in handler,index.html:26043 (loadPriceMonitor),NOT TESTED
POST,/price-monitor/sources,6096,create_price_source,AUTHENTICATED,any authenticated,payload:PriceSourceCreate,dynamic JSON/HTML/FileResponse,"business_profile, price_monitor_sources, products, suppliers, users",none detected in handler,index.html:26079 (createPriceSource),NOT TESTED
POST,/price-monitor/upload-price-list,6121,upload_price_list,AUTHENTICATED,any authenticated,payload:PriceListUploadRequest,dynamic JSON/HTML/FileResponse,"price_history, price_monitor_sources, products, suppliers, users",none detected in handler,index.html:26078 (uploadSelectedPriceList),NOT TESTED
POST,/price-monitor/{source_id}/check,6112,check_price_source,AUTHENTICATED,any authenticated,source_id:int,dynamic JSON/HTML/FileResponse,"price_history, price_monitor_sources, suppliers, users",none detected in handler,index.html:26080 (checkPriceSource),NOT TESTED
